Symbol,Date,Close,R3M,R6M,R9M,R12M,RS_Blend,MA_30W,MA_30W_Slope_10S_Pct,Stage,MA_10W,High_52W,Near_52W_High,Low_52W,Volume_Ratio,U_D,AvgValue20,SMA_50,Below_50DMA,Ext_Pct,Extended_20Pct,Pct_From_52W_High,Above_MA_30W,Above_MA_10W,MA10W_Above_MA30W,MA_30W_Rising,Distribution,Heavy_Distribution,Breakout,Breakout_Confirmed,SMA_150,SMA_200,SMA_200_Rising,ATR_Pct,VCP_Contractions,Contraction_Ratio,Base_Depth_Pct,Volume_DryUp,VCP_Setup,VCP_Pivot,RS_Line,RS_Line_High_52W,RS_Line_At_High,Pct_To_Pivot,RS_Score,Liquid_UI_Filter,RS_Not_Lagging,Trend_Health,TT1_Above_150_200,TT2_150_Above_200,TT3_200_Rising,TT4_50_Above_150_200,TT5_Above_50,TT6_Above_52W_Low,TT7_Near_52W_High,TT8_RS,Trend_Template_Score,Trend_Template_Pass,RS_Line_NH_Before_Price,Stage1_Readiness,Company Name,Industry,Series,ISIN Code,Action,Action_Reason
ADANIENT,2026-08-25,3110.0,0.0918309640894428,0.3941795507870345,0.3337008928744367,0.3510750745985931,0.25252348928779,2580.240149929099,2.3862056226179096,Stage 2 — Advancing,3059.9176480162378,3245.0,False,1752.216581309528,1.3650872805722285,0.9161561817653883,3217636484.345361,3062.2439990234375,False,20.531416429802384,True,-4.1602465331278875,True,True,True,True,False,False,False,False,2564.9957975260418,2491.209093017578,True,1.972669146725712,2,1.0428132414944113,9.620953811151772,0.6652918342277143,False,3245.0,0.13171492196425238,0.1378515671461701,False,4.340836012861726,79.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024,HOLD,Stage 2 + RS 79; trend/leadership is adequate without a stronger entry trigger.
ADANIGREEN,2026-08-25,1330.0,-0.057472877180273496,0.379453369622921,0.3147489443439728,0.3795249804790053,0.19175630801707044,1231.548287587623,2.212683580517094,Stage 2 — Advancing,1443.811762791054,1631.5,False,765.0,1.0777526227504695,0.6402788782416677,2015501875.3865724,1443.037998046875,True,7.994141472538274,False,-18.47992644805394,True,False,True,True,True,False,False,False,1221.6336665852864,1170.2062496948242,True,2.3297538716350026,1,1.0227746690120254,21.47716974649479,0.4889621665276393,False,1631.5,0.05632824637056452,0.06916112468322001,False,22.669172932330817,74.0,True,True,4,True,True,True,True,False,True,True,True,7,False,False,,Adani Green Energy Ltd.,Power,EQ,INE364U01010,REDUCE,Stage 2 + RS 74; distribution warning (U/D 0.64) triggers REDUCE.
ADANIPORTS,2026-08-26,1691.5,-0.06215282339230488,0.09546543870026314,0.12775780139133963,0.29134002091601396,0.0780515228446014,1644.86257223887,1.1731899081758757,Stage 2 — Advancing,1765.21175848269,1891.0999755859375,False,1286.5777387006826,0.9804490288576846,0.5120351757566568,3364877694.5444765,1763.943994140625,True,2.8353388634559717,False,-10.554702456917619,True,False,True,True,True,True,False,False,1637.2806648763021,1596.923024291992,True,1.626198114885087,3,0.7593081569040186,13.256832235651542,0.7281501096407135,False,1891.0999755859375,0.07179785629784013,0.08156737562579439,False,11.800175914037103,58.0,True,True,4,True,True,True,True,False,True,True,False,6,False,False,,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042,REDUCE,Stage 2 + RS 58; distribution warning (U/D 0.51) triggers REDUCE.
ADANIPOWER,2026-08-26,207.1999969482422,-0.15266021354192727,0.46596860277896957,0.3941596269389196,0.7497044431012221,0.26090244914705135,194.78856230435306,2.1860673650032636,Stage 2 — Advancing,215.76058870203354,254.1999969482422,False,116.69999694824219,0.9742369791120695,0.7429278589088268,3009103983.2778487,215.66780059814454,True,6.371747138056549,False,-18.48937866414282,True,False,True,True,False,False,False,False,193.2342673746745,181.2438005065918,True,2.081494959050024,2,0.8382237740531195,14.46709440518843,0.5416936886101336,False,235.5,0.00879486586213586,0.01083753491595467,False,13.658302832324388,80.0,True,True,4,True,True,True,True,False,True,True,True,7,False,False,,Adani Power Ltd.,Power,EQ,INE814H01029,WAIT,Stage 2 + RS 80; wait because the close is below its 50-session average — short-term timing has weakened even though the 30-week trend is intact.
ATGL,2026-08-25,640.25,-0.028334128708498496,0.24327593602244146,0.059071669040103414,0.014611672604982973,0.05205820405010617,625.9639857043959,1.1203762684765417,Stage 2 — Advancing,687.9235301298254,859.5498025483846,False,462.63840779150803,0.2965854573248728,2.0195380917017824,654099823.38992,687.4080004882812,True,2.2822422091149708,False,-25.513332898013207,True,False,True,True,False,False,False,False,623.439331665039,614.0745893859863,True,2.2312726286641658,1,1.1214823790395707,15.273331705729168,0.5367408439661165,False,750.0,0.027115909578010477,0.03519195409356111,False,17.141741507223742,54.0,True,True,4,True,True,True,True,False,True,False,False,5,False,False,,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE399L01023,HOLD,Stage 2 + RS 54; trend/leadership is adequate without a stronger entry trigger.
ABCAPITAL,2026-08-26,410.0,0.12932106813292266,0.1512003566653639,0.17209838281258305,0.4590747330960854,0.20820312176797554,361.79554748535156,0.9751066034815459,Stage 2 — Advancing,400.48431396484375,430.70001220703125,False,272.70001220703125,0.5441916032195351,1.199799574546446,1643311525.163562,401.045,False,13.323672126340957,False,-4.8061322545496115,True,True,True,True,False,False,False,False,361.46166625976565,358.51024963378904,True,2.24303295388039,2,0.7017351766573272,14.418389678072508,0.7832443104852452,False,430.70001220703125,0.017402968419813453,0.017892991661374247,False,5.04878346512958,76.0,True,True,5,True,True,True,True,True,True,True,True,8,True,False,,Aditya Birla Capital Ltd.,Financial Services,EQ,INE674K01013,HOLD,Stage 2 + RS 76; trend/leadership is adequate without a stronger entry trigger.
ABFRL,2026-08-26,54.52000045776367,-0.15954989749655435,-0.20466815418521522,-0.2913959094388716,-0.3396317578731731,-0.23095912329807372,61.995753379717264,-1.3288669267686348,Stage 4 — Declining,58.6954901452158,94.94999694824219,False,53.5099983215332,0.6843054143555503,0.9118485504012845,471446751.5980482,58.634999923706054,True,-12.058491935996674,False,-42.58030309628883,False,False,False,False,False,False,False,False,62.02199994405111,65.57569997787476,False,3.081437538725839,2,0.9796031014381714,16.458657547893495,0.6084633730492258,False,64.0999984741211,0.0023141703566211614,0.003998041459379272,False,17.57152959633408,4.0,True,False,0,False,False,False,False,False,False,False,False,0,False,False,,Aditya Birla Fashion and Retail Ltd.,Consumer Services,EQ,INE647O01011,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
ABLBL,2026-08-26,86.04000091552734,-0.15298783900585022,-0.15940833036922597,-0.34793148392857953,-0.3772722584139272,-0.23811755014468663,99.38055466952389,-1.5561609311376068,Stage 4 — Declining,93.69127669988895,150.53067573506257,False,84.23999786376953,0.4576995956552072,0.6769755373216582,93437808.78796081,93.58959228515624,True,-13.423706275698189,False,-42.84221438893976,False,False,False,False,True,False,False,False,99.55766021728516,106.01807468414307,False,2.1833707246879657,2,0.8625832061202499,17.531096328274025,1.1714318728772852,False,102.14759031973256,0.0036520766311552264,0.006464836753620593,False,18.7210474579369,4.0,True,False,0,False,False,False,False,False,False,False,False,0,False,False,,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,EQ,INE14LE01019,SELL,Stage 4 takes precedence: the guide requires SELL regardless of RS.
ABREL,2026-08-25,1408.0,0.09694697375468664,0.11728020036452458,-0.1864483481341016,-0.23569171959648827,-0.022193183971338404,1326.7658749933112,-0.12318277065389571,Stage 3 — Topping,1388.6595865885417,1961.880003431885,False,1078.220335805519,0.5612672215503545,2.0528452140834177,309468981.21641237,1390.1645703125,False,6.122717394061583,False,-28.232104025882908,True,True,True,False,False,False,False,False,1327.021328938802,1417.9107202148436,False,3.47910113148875,1,0.9856832844383149,15.477089190625698,1.8006071133784793,False,1486.0,0.0596317074359059,0.08222320842603205,False,5.539772727272729,37.0,True,False,3,False,False,False,False,True,True,False,False,2,False,False,,Aditya Birla Real Estate Ltd.,Realty,EQ,INE055A01016,SELL,Stage 3 + RS 37; RS below 50 in Stage 3 triggers SELL.
ABSLAMC,2026-08-26,1033.5,0.055808662214896554,0.16053947665026946,0.4495429917975564,0.2570732000650331,0.1957545985885304,987.8765977833369,1.5035551212025489,Stage 2 — Advancing,1066.0618166456036,1194.9557175378152,False,690.6919781874805,1.2950278740308478,1.52009714531782,184843062.03525084,1065.961846923828,True,4.61833009497703,False,-13.511439392121726,True,False,True,True,False,False,False,False,981.7977473958333,924.1755551147461,True,2.1895089420701153,2,0.5004706583463883,18.5492840020519,0.38583312184126606,True,1194.9557175378152,0.04386821429726147,0.05083183799390338,False,15.622227144442679,75.0,True,True,4,True,True,True,True,False,True,True,True,7,False,False,,Aditya Birla Sun Life AMC Ltd.,Financial Services,EQ,INE404A01024,HOLD,Stage 2 + RS 75; trend/leadership is adequate without a stronger entry trigger.
